C,kernel,gamma,accuracy,precision,recall,f1_score,roc_auc_score
0.01,linear,scale,0.8760330578512396,0.847457627118644,0.8928571428571429,0.8695652173913044,0.8771978021978022
0.01,rbf,scale,0.8677685950413223,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.8695054945054944
0.02,linear,scale,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
0.02,rbf,scale,0.8925619834710744,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.8925824175824175
0.03,linear,scale,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
0.03,rbf,scale,0.9008264462809917,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9002747252747252
0.04,linear,scale,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
0.04,rbf,scale,0.9008264462809917,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9002747252747252
0.05,linear,scale,0.8760330578512396,0.8596491228070176,0.875,0.8672566371681416,0.8759615384615385
0.05,rbf,scale,0.9008264462809917,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9002747252747252
0.1,linear,scale,0.9008264462809917,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9002747252747252
0.1,rbf,scale,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538
0.15,linear,scale,0.8925619834710744,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.8925824175824175
0.15,rbf,scale,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538
0.2,linear,scale,0.8842975206611571,0.875,0.875,0.875,0.8836538461538461
0.2,rbf,scale,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538
0.25,linear,scale,0.8925619834710744,0.8909090909090909,0.875,0.8828828828828829,0.8913461538461538
0.25,rbf,scale,0.9008264462809917,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9002747252747252
0.5,linear,scale,0.8760330578512396,0.8727272727272727,0.8571428571428571,0.8648648648648648,0.8747252747252747
0.5,rbf,scale,0.9090909090909091,0.8947368421052632,0.9107142857142857,0.9026548672566371,0.9092032967032966
0.75,linear,scale,0.8512396694214877,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.8491758241758242
0.75,rbf,scale,0.9256198347107438,0.9272727272727272,0.9107142857142857,0.918918918918919,0.924587912087912
1,linear,scale,0.8512396694214877,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.8491758241758242
1,rbf,scale,0.9256198347107438,0.9272727272727272,0.9107142857142857,0.918918918918919,0.924587912087912
1.1,linear,scale,0.8677685950413223,0.8703703703703703,0.8392857142857143,0.8545454545454546,0.8657967032967033
1.1,rbf,scale,0.9173553719008265,0.9259259259259259,0.8928571428571429,0.9090909090909091,0.9156593406593406
1.2,linear,scale,0.859504132231405,0.8679245283018868,0.8214285714285714,0.8440366972477065,0.8568681318681317
1.2,rbf,scale,0.9090909090909091,0.9245283018867925,0.875,0.8990825688073395,0.9067307692307692
1.25,linear,scale,0.859504132231405,0.8679245283018868,0.8214285714285714,0.8440366972477065,0.8568681318681317
1.25,rbf,scale,0.9090909090909091,0.9245283018867925,0.875,0.8990825688073395,0.9067307692307692
1.3,linear,scale,0.859504132231405,0.8679245283018868,0.8214285714285714,0.8440366972477065,0.8568681318681317
1.3,rbf,scale,0.9090909090909091,0.9245283018867925,0.875,0.8990825688073395,0.9067307692307692
1.4,linear,scale,0.8512396694214877,0.8653846153846154,0.8035714285714286,0.8333333333333334,0.8479395604395603
1.4,rbf,scale,0.9090909090909091,0.9245283018867925,0.875,0.8990825688073395,0.9067307692307692
1.5,linear,scale,0.8512396694214877,0.8653846153846154,0.8035714285714286,0.8333333333333334,0.8479395604395603
1.5,rbf,scale,0.9008264462809917,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8978021978021978
1.75,linear,scale,0.8512396694214877,0.8653846153846154,0.8035714285714286,0.8333333333333334,0.8479395604395603
1.75,rbf,scale,0.9008264462809917,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8978021978021978
2,linear,scale,0.859504132231405,0.8823529411764706,0.8035714285714286,0.8411214953271029,0.8556318681318681
2,rbf,scale,0.9008264462809917,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8978021978021978
2.5,linear,scale,0.8429752066115702,0.8627450980392157,0.7857142857142857,0.8224299065420562,0.8390109890109888
2.5,rbf,scale,0.9008264462809917,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8978021978021978
3,linear,scale,0.8429752066115702,0.8627450980392157,0.7857142857142857,0.8224299065420562,0.8390109890109888
3,rbf,scale,0.9008264462809917,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8978021978021978
4,linear,scale,0.8429752066115702,0.8627450980392157,0.7857142857142857,0.8224299065420562,0.8390109890109888
4,rbf,scale,0.9090909090909091,0.9411764705882353,0.8571428571428571,0.897196261682243,0.9054945054945055
5,linear,scale,0.8512396694214877,0.88,0.7857142857142857,0.830188679245283,0.8467032967032966
5,rbf,scale,0.9008264462809917,0.94,0.8392857142857143,0.8867924528301886,0.8965659340659341
7.5,linear,scale,0.859504132231405,0.8979591836734694,0.7857142857142857,0.838095238095238,0.8543956043956044
7.5,rbf,scale,0.9008264462809917,0.94,0.8392857142857143,0.8867924528301886,0.8965659340659341
10,linear,scale,0.8512396694214877,0.8958333333333334,0.7678571428571429,0.8269230769230769,0.845467032967033
10,rbf,scale,0.9008264462809917,0.94,0.8392857142857143,0.8867924528301886,0.8965659340659341
