n_estimators,learning_rate,accuracy,precision,recall,f1_score,roc_auc_score
1,0.001,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.002,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.003,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.004,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.005,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.01,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.02,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.03,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.04,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.05,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.075,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.1,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.2,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.3,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.4,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.5,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.6,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.7,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.8,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,0.9,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,1,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,1.25,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,1.5,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,1.75,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
1,2,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.001,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.002,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.003,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.004,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.005,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.01,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.02,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.03,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.04,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.05,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.075,0.8099173553719008,0.8367346938775511,0.7321428571428571,0.7809523809523811,0.8045329670329671
5,0.1,0.8016528925619835,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7956043956043957
5,0.2,0.8429752066115702,0.8245614035087719,0.8392857142857143,0.8318584070796461,0.8427197802197802
5,0.3,0.8677685950413223,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8645604395604395
5,0.4,0.8512396694214877,0.8653846153846154,0.8035714285714286,0.8333333333333334,0.8479395604395603
5,0.5,0.8264462809917356,0.8431372549019608,0.7678571428571429,0.8037383177570093,0.8223901098901099
5,0.6,0.8099173553719008,0.851063829787234,0.7142857142857143,0.7766990291262136,0.8032967032967033
5,0.7,0.8099173553719008,0.851063829787234,0.7142857142857143,0.7766990291262136,0.8032967032967033
5,0.8,0.8099173553719008,0.851063829787234,0.7142857142857143,0.7766990291262136,0.8032967032967033
5,0.9,0.7355371900826446,0.6621621621621622,0.875,0.7538461538461538,0.7451923076923077
5,1,0.7355371900826446,0.6621621621621622,0.875,0.7538461538461538,0.7451923076923077
